"filename", "language", "JSON", "TOML", "JSON with Comments", "JavaScript", "Markdown", "CSS", "Ignore", "Liquid", "TypeScript", "Prisma", "MS SQL", "Docker", "JavaScript JSX", "comment", "blank", "total"
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/style.css", "CSS", 0, 0, 0, 0, 0, 781, 0, 0, 0, 0, 0, 0, 0, 70, 107, 958
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-action-handler.js", "JavaScript", 0, 0, 0, 1067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 183, 1385
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-chooser.js", "JavaScript", 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 52, 494
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-color.js", "JavaScript", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 36, 249
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-contact.js", "JavaScript", 0, 0, 0, 335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 61, 460
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-core.js", "JavaScript", 0, 0, 0, 1980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 305, 2628
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-customer.js", "JavaScript", 0, 0, 0, 738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 83, 941
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-page-data.js", "JavaScript", 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 31, 262
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-support.js", "JavaScript", 0, 0, 0, 578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 94, 798
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-text.js", "JavaScript", 0, 0, 0, 2737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 438, 418, 3593
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-voice.js", "JavaScript", 0, 0, 0, 2820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 462, 436, 3718
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-welcome.js", "JavaScript", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 34, 204
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/blocks/voicero.liquid", "Liquid", 0, 0, 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0, 30, 360
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/schema.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/davidfales/voicero-app-shop-test/extensions/voicero/shopify.extension.toml", "TOML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/davidfales/voicero-app-shop-test/package-lock.json", "JSON", 14711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14712
"/Users/davidfales/voicero-app-shop-test/package.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71
"/Users/davidfales/voicero-app-shop-test/prisma/migrations/20240530213853_create_session_table/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 1, 19
"/Users/davidfales/voicero-app-shop-test/prisma/migrations/20250419014542_init/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 1, 11
"/Users/davidfales/voicero-app-shop-test/prisma/migrations/migration_lock.toml", "TOML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"/Users/davidfales/voicero-app-shop-test/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 5, 35
"/Users/davidfales/voicero-app-shop-test/remix.config.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 21
"/Users/davidfales/voicero-app-shop-test/shopify.app.toml", "TOML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 41
"/Users/davidfales/voicero-app-shop-test/shopify.web.toml", "TOML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/davidfales/voicero-app-shop-test/tsconfig.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/davidfales/voicero-app-shop-test/vite.config.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 74
"Total", "-", 14795, 38, 21, 12433, 280, 884, 10, 330, 147, 25, 26, 11, 3712, 2279, 2628, 37619
